Абаза;Хакасия;Сибирский;17111
Абакан;Хакасия;Сибирский;165183
Абдулино;Оренбургская область;Приволжский;20663
Абинск;Краснодарский край;Южный;34926
Агидель;Башкортостан;Приволжский;16365
Агрыз;Татарстан;Приволжский;19299
Адыгейск;Адыгея;Южный;12689
Азнакаево;Татарстан;Приволжский;34859
Азов;Ростовская область;Южный;82882
Ак-Довурак;Тыва;Сибирский;13469
Аксай;Ростовская область;Южный;41984
Алагир;Северная Осетия - Алания;Северо-Кавказский;20949
Алапаевск;Свердловская область;Уральский;38198
Алатырь;Чувашия;Приволжский;38202
Алдан;Якутия;Дальневосточный;21277
Алейск;Алтайский край;Сибирский;28528
Александров;Владимирская область;Центральный;61544
Александровск;Пермский край;Приволжский;15022
Александровск-Сахалинский;Сахалинская область;Дальневосточный;10613
Алексеевка;Белгородская область;Центральный;39026
Алексин;Тульская область;Центральный;61738
Алзамай;Иркутская область;Сибирский;6751
Алупка;Крым;Южный;7771
Алушта;Крым;Южный;29078
Альметьевск;Татарстан;Приволжский;146309
Амурск;Хабаровский край;Дальневосточный;42977
Анадырь;Чукотский АО;Дальневосточный;13053
Анапа;Краснодарский край;Южный;58983
Ангарск;Иркутская область;Сибирский;233765
Андреаполь;Тверская область;Центральный;8265
Анжеро-Судженск;Кемеровская область;Сибирский;76669
Анива;Сахалинская область;Дальневосточный;8449
Апатиты;Мурманская область;Северо-Западный;59690
Апрелевка;Московская область;Центральный;18467
Апшеронск;Краснодарский край;Южный;40229
Арамиль;Свердловская область;Уральский;14227
Аргун;Чечня;Северо-Кавказский;29528
Ардатов;Мордовия;Приволжский;9400
Ардон;Северная Осетия - Алания;Северо-Кавказский;18774
Арзамас;Нижегородская область;Приволжский;106367
Аркадак;Саратовская область;Приволжский;12846
Армавир;Краснодарский край;Южный;188897
Армянск;Крым;Южный;21987
Арсеньев;Приморский край;Дальневосточный;56742
Арск;Татарстан;Приволжский;18114
Артём;Приморский край;Дальневосточный;102636
Артёмовск;Красноярский край;Сибирский;2180
Артёмовский;Свердловская область;Уральский;32878
Архангельск;Архангельская область;Северо-Западный;348716
Асбест;Свердловская область;Уральский;70067
Асино;Томская область;Сибирский;25614
Астрахань;Астраханская область;Южный;520662
Аткарск;Саратовская область;Приволжский;25620
Ахтубинск;Астраханская область;Южный;41898
Ачинск;Красноярский край;Сибирский;109156
Аша;Челябинская область;Уральский;31916
Бабаево;Вологодская область;Северо-Западный;12074
Бабушкин;Бурятия;Сибирский;4542
Бавлы;Татарстан;Приволжский;22109
Багратионовск;Калининградская область;Северо-Западный;6399
Байкальск;Иркутская область;Сибирский;13589
Баймак;Башкортостан;Приволжский;17710
Бакал;Челябинская область;Уральский;20953
Баксан;Кабардино-Балкария;Северо-Кавказский;36857
Балабаново;Калужская область;Центральный;26337
Балаково;Саратовская область;Приволжский;199576
Балахна;Нижегородская область;Приволжский;51526
Балашиха;Московская область;Центральный;215353
Балашов;Саратовская область;Приволжский;82222
Балей;Забайкальский край;Сибирский;12536
Балтийск;Калининградская область;Северо-Западный;32670
Барабинск;Новосибирская область;Сибирский;30250
Барнаул;Алтайский край;Сибирский;635585
Барыш;Ульяновская область;Приволжский;17149
Батайск;Ростовская область;Южный;112400
Бахчисарай;Крым;Южный;27448
Бежецк;Тверская область;Центральный;24517
Белая Калитва;Ростовская область;Южный;43688
Белая Холуница;Кировская область;Приволжский;11232
Белгород;Белгородская область;Центральный;356426
Белебей;Башкортостан;Приволжский;60183
Белёв;Тульская область;Центральный;13918
Белинский;Пензенская область;Приволжский;8567
Белово;Кемеровская область;Сибирский;76752
Белогорск;Амурская область;Дальневосточный;68220
Белогорск;Крым;Южный;16354
Белозерск;Вологодская область;Северо-Западный;9614
Белокуриха;Алтайский край;Сибирский;15072
Беломорск;Карелия;Северо-Западный;11217
Белоозёрский;Московская область;Центральный;17842
Белорецк;Башкортостан;Приволжский;68804
Белореченск;Краснодарский край;Южный;53891
Белоусово;Калужская область;Центральный;8432
Белоярский;Ханты-Мансийский АО - Югра;Уральский;20283
Белый;Тверская область;Центральный;3771
Бердск;Новосибирская область;Сибирский;98809
Березники;Пермский край;Приволжский;156350
Берёзовский;Кемеровская область;Сибирский;47292
Берёзовский;Свердловская область;Уральский;51583
Беслан;Северная Осетия - Алания;Северо-Кавказский;36724
Бийск;Алтайский край;Сибирский;203826
Бикин;Хабаровский край;Дальневосточный;17156
Билибино;Чукотский АО;Дальневосточный;5504
Биробиджан;Еврейская АО;Дальневосточный;75419
Бирск;Башкортостан;Приволжский;41637
Бирюсинск;Иркутская область;Сибирский;8981
Бирюч;Белгородская область;Центральный;7842
Благовещенск;Башкортостан;Приволжский;34246
Благовещенск;Амурская область;Дальневосточный;214397
Благодарный;Ставропольский край;Северо-Кавказский;32736
Бобров;Воронежская область;Центральный;19738
Богданович;Свердловская область;Уральский;31752
Богородицк;Тульская область;Центральный;31897
Богородск;Нижегородская область;Приволжский;25497
Боготол;Красноярский край;Сибирский;21029
Богучар;Воронежская область;Центральный;11811
Бодайбо;Иркутская область;Сибирский;15331
Бокситогорск;Ленинградская область;Северо-Западный;16593
Болгар;Татарстан;Приволжский;8650
Бологое;Тверская область;Центральный;23499
Болотное;Новосибирская область;Сибирский;16969
Болохово;Тульская область;Центральный;9619
Болхов;Орловская область;Центральный;11421
Большой Камень;Приморский край;Дальневосточный;39257
Бор;Нижегородская область;Приволжский;78079
Борзя;Забайкальский край;Сибирский;31376
Борисоглебск;Воронежская область;Центральный;65585
Боровичи;Новгородская бласть;Северо-Западный;54731
Боровск;Калужская область;Центральный;12283
Бородино;Красноярский край;Сибирский;17423
Братск;Иркутская область;Сибирский;246348
Бронницы;Московская область;Центральный;21102
Брянск;Брянская область;Центральный;415640
Бугульма;Татарстан;Приволжский;89144
Бугуруслан;Оренбургская область;Приволжский;52249
Будённовск;Ставропольский край;Северо-Кавказский;64628
Бузулук;Оренбургская область;Приволжский;82816
Буинск;Татарстан;Приволжский;20342
Буй;Костромская область;Центральный;25763
Буйнакск;Дагестан;Северо-Кавказский;65735
Бутурлиновка;Воронежская область;Центральный;27208
Валдай;Новгородская бласть;Северо-Западный;16099
Валуйки;Белгородская область;Центральный;35322
Велиж;Смоленская область;Центральный;7620
Великие Луки;Псковская область;Северо-Западный;98778
Великий Новгород;Новгородская бласть;Северо-Западный;218724
Великий Устюг;Вологодская область;Северо-Западный;31664
Вельск;Архангельская область;Северо-Западный;23885
Венёв;Тульская область;Центральный;15220
Верещагино;Пермский край;Приволжский;22760
Верея;Московская область;Центральный;5368
Верхнеуральск;Челябинская область;Уральский;9459
Верхний Тагил;Свердловская область;Уральский;11843
Верхний Уфалей;Челябинская область;Уральский;30504
Верхняя Пышма;Свердловская область;Уральский;58707
Верхняя Салда;Свердловская область;Уральский;46240
Верхняя Тура;Свердловская область;Уральский;9468
Верхотурье;Свердловская область;Уральский;8815
Верхоянск;Якутия;Дальневосточный;1311
Весьегонск;Тверская область;Центральный;7330
Ветлуга;Нижегородская область;Приволжский;8956
Видное;Московская область;Центральный;56798
Вилюйск;Якутия;Дальневосточный;10233
Вилючинск;Камчатский край;Дальневосточный;22905
Вихоревка;Иркутская область;Сибирский;22528
Вичуга;Ивановская область;Центральный;37609
Владивосток;Приморский край;Дальневосточный;592069
Владикавказ;Северная Осетия - Алания;Северо-Кавказский;311635
Владимир;Владимирская область;Центральный;348256
Волгоград;Волгоградская область;Южный;1021244
Волгодонск;Ростовская область;Южный;170621
Волгореченск;Костромская область;Центральный;17108
Волжск;Марий Эл;Приволжский;55671
Волжский;Волгоградская область;Южный;314436
Вологда;Вологодская область;Северо-Западный;301642
Володарск;Нижегородская область;Приволжский;9924
Волоколамск;Московская область;Центральный;23386
Волосово;Ленинградская область;Северо-Западный;12162
Волхов;Ленинградская область;Северо-Западный;47344
Волчанск;Свердловская область;Уральский;10008
Вольск;Саратовская область;Приволжский;66520
Воркута;Коми;Северо-Западный;70551
